	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
42	58610	Municipality of Hjørring	Denmark	Hjørring		2016.0	2014-12-31 00:00:00	Other: Energy plan for Hjoerring Municipality	Other		CO2	417000.0	289000.0	128000.0	Decreased	Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially. Industry: Large decrease in fuel consumption, especially from fossil fuels.	2016.0	65308.0	19088026316.0	DKK     Danish Krone		http://www.danskbyggeri.dk/media/7648/regional-oversigt-over-bnp-i-kommunerne.pdf	7.5	7.5	22.0	(57.456779, 9.995764)	(56.26392, 9.501785)	2014.0	1.0		A
85	35902	City of Nagoya	Japan	Nagoya		2016.0	2013-03-31 00:00:00	Administrative boundary of a local government	Other	コメント欄のとおり: 地球温暖化対策地方公共団体実行計画（区域施策編）策定マニュアル（第１版）に基づき、市内における人為的な活動に伴う排出量を把握している。	CO2; PFCs; CH4; SF6; N2O; HFCs	13420000.0	7690000.0	5730000.0	Decreased	市内におけるエネルギー消費量が減少したことに加えて、電気事業者の取組みによって電力原単位が改善したことが大きく影響している。	2015.0	2274511.0	11847100000000.0	JPY     Japanese yen	2012.0	本市統計	16.1	326.0		(35.181446, 136.906398)	(36.204824, 138.252924)	2013.0	1.0		A
25	31149	City of Athens	Greece	Athens	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	4711576.0	1260355.0	3451221.0	This is our first year of calculation	It is the first an inventory has been developed using the GPC Standard. Previous inventory did not use this methodology so the data cannot be compared.	2011.0	664046.0	19951634580.0	EUR     Euro	2013.0	www.statistics.gr	17.5	39.0	208.0	(37.98381, 23.727539)	(39.074208, 21.824312)	2014.0	1.0		A
184	50364	Municipalidad de La Paz	Bolivia	La Paz		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Global Protocol for Community-Scale GHG Emission Inventories (GPC), norma Internacional ISO 14064:1 para Gases de Efecto Invernadero, las herramientas de medición del Greenhouse Gas Protocol (GHG Protocol) y la metodología MC3 (Método Compuesto de las Cuentas Contables5) de Carbonfeel.   - Alcance 1. Emisiones Directas de GEI: Fuentes de emisión que son de propiedad de la organización o están contraladas por esta. Las emisiones bajo este alcance son de reporte obligatorio según la NB-ISO 14064. - Alcance 2. Emisiones Indirectas de GEI por energía: Emisiones indirectas de GEI que provienen de la generación de electricidad de origen externo, consumido por la organización. Las emisiones bajo este alcance también son de reporte obligatorio, según la NB-ISO 14064. - Alcance 3. Otras Emisiones Indirectas de GEI: Las emisiones de GEI indirectas ocurren como consecuencia de las actividades de la organización, pero provienen de fuentes que no son controladas por la misma. Las emisiones bajo este alcance son de reporte voluntario, según la NB-ISO 14064.	CO2; PFCs; CH4; SF6; N2O; HFCs	1426533.8	1152922.4	273611.4	This is our first year of calculation	Esperamos que con la implementación de algunas líneas de acción que se fueron adoptando a lo largo de este tiempo, se haya avanzado en la disminución de la huella de carbono y huella hídrica	2015.0			BOB     Boliviano	2013.0	Instituto Nacional de Estadística	13.0	2010.0	3200.0	(-16.5, -68.15)	(-16.290154, -63.588653)	2012.0	0.9999999999999999		A
74	35755	Village of Kadiovacik	Turkey	Kadiovacik		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2	443.79	404.65	39.14	Decreased	Due to the energy saving training to the villagers	2016.0	216.0	10000.0	TRY     New Turkish Lira	2016.0	Governental	19.0	5947.0	327.0	(38.3434574, 26.553613)	(38.963745, 35.243322)	2015.0	0.9999999999999999		A
182	31159	Alcaldía Metropolitana de Caracas	Venezuela	Alcaldía Metropolitana de Caracas	C40	2016.0	2015-12-31 00:00:00	A metropolitan area	2006 IPCC Guidelines for National Greenhouse Gas Inventories	We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.	CO2; CH4; N2O	17774776.0	14364103.0	3410672.0	Increased	Emissions have increased slightly mainly due to the increase electricity consumption and waste generation due to population growth. Emissions from the transport sector practically have not increased, reflecting the limited increase of the automotive park in 2015.	2015.0	3518590.0	54000000000.0		2015.0	Estimated from Venezuelan Central Bank figures	25.0	776.0	950.0	(10.4696404, -66.8037185)	(6.42375, -66.58973)	2015.0	0.9999999437405006		A
73	31173	Comune di Milano	Italy	Milano	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Other	We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this	CO2	5976779.0	3728678.0	2248100.0		The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector	2014.0	1350680.0					15.5	182.0	122.0	(45.802578, 9.086356)	(41.87194, 12.56738)	2013.0	0.9999998326857995		A
28	35848	Municipality of Belo Horizonte	Brazil	Belo Horizonte		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	"GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay,  For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane."	CO2; CH4; N2O	3241713.0	2804787.0	436925.0	Increased	Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far	2015.0	2502557.0	81426708.0	BRL     Brazilian Real	2013.0	IBGE	21.0	331.0	900.0	(-19.916681, -43.934493)	(-14.235004, -51.92528)	2013.0	0.9999996915211187		A
185	50383	Prefeitura de Sorocaba	Brazil	Sorocaba		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	"This inventory were considered for calculating the following greenhouse gases ( GHG ) : Carbon Dioxide ( CO2 ), methane ( CH4 ) , nitrous oxide ( N2O ) , Hydrochlorofluorocarbons ( HFC "" s ) , Perclorofluorcarbonos ( PFC "" s ) and hexafluoride Sulfur ( SF6 ) . , 2000 IPCC Good Practice Guidance and Management in Natural Uncertanty Greenhouse Gas Inventories ; 2006 IPCC Guidelines for National , Greenhouse Gas Inventories ISO 14064-1/2006 : To estimate GHG emissions in Sorocaba , the following references were used : Greenhouse Gases , ISO 14064-2/2007 : Greenhouse Gases , Global Protocol for Community - Scale Greenhouse Gas Emissions ( GPC ) 2012. Potential GHG Global Warming was used , according to the Second Assessment Report of the IPCC (1995 ) . The sectors analyzed were : agriculture, forestry and land use ( rice planting in irrigated systems , liming the soil , herd management and animal manure management , agricultural soil management , agricultural waste burning and land use change ) , energy ( mobile combustion , stationary combustion and electricity consumption ) ; industry , and waste ( landfill and sewage treatment ) . Databases respected in the country , as the IBGE and SEADE were used , in addition to consulting the ANP ( National Petroleum Agency ) , municipal government information , agencies and agriculture companies ."	CO2; PFCs; CH4; SF6; N2O; HFCs	1113971.0	980290.0	133680.5	Other	There is only an elaborate inventory, so we can not compare emissions	2015.0	644919.0	44950031.0	USD     US Dollar	2013.0	IBGE	20.8	450.0	601.0	(-23.4774899, -47.4220615)	(-14.235004, -51.92528)	2012.0	0.9999995511552814		A
75	36254	Comune di Venezia	Italy	Venezia	C40	2016.0	2005-12-31 00:00:00	Administrative boundary of a local government	Other	Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.	CO2	1418344.0	955471.0	462872.0	Stayed the same	Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.	2016.0	263104.0	146605000000.0	EUR     Euro	2012.0	ISTAT - this data is referred to whole Veneto Region (4881756 inhabitants)	13.0	414.0	3.0	(45.4332515, 12.3210704)	(41.87194, 12.56738)	2005.0	0.9999992949524233		A
135	2430	City of Burlington	USA	Burlington		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.	CO2	405385.3	368077.0	37305.0	Decreased	"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released."	2015.0	42284.0	12700000.0	USD     US Dollar	2014.0	Bureau of Economic Analysis	7.7	40.1	61.0	(44.4758825, -73.212072)	(37.09024, -95.712891)	2010.0	0.9999918595962902		A
129	54521	City of Bournemouth	United Kingdom	Bournemouth		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	The GHG emissions described in this section were calculated and published by the Department for Energy and Climate Change (DECC).  Summary of the calculation methodology is available from: https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-2013.	CO2	782650.0	350775.0	431850.0	Decreased	Carbon emissions from all sectors (homes, business and transport) have decreased.  Contributing factors to this include home insulation programmes, signposting to business advice sources and increased provision for walking, cycling and public transport. (NOTE: Since last year's submissions, 2012 emissions data has been revised, giving a total of 818100 CO2e; this is higher than the total that was previously reported.)	2015.0	191400.0					14.0	108.0	22.0	(50.719164, -1.880769)	(55.378051, -3.435973)	2013.0	0.9999680572414233		A
126	59612	City of Hermosa Beach, CA	USA	Hermosa Beach, CA		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)		CO2; CH4; N2O	126611.0	123218.0	3334.0	Decreased		2015.0	19750.0		USD     US Dollar	2015.0		18.0	2.3	8.0	(33.8622, -118.3995)	(37.09024, -95.712891)	2012.0	0.9995340057340989		A
5	54070	City of Eugene	USA	Eugene		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Used the community GHG accounting tool available from ICLEI at the time (2006/2007)	CO2; CH4; N2O	1250000.0	1106250.0	137500.0	Decreased	Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.	2013.0	151190.0					11.2	113.0	130.0	(44.0519, -123.0867)	(37.09024, -95.712891)	2015.0	0.995		A
116	54111	City of Iowa City	USA	Iowa 		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	The methodology that was used was through ICLEI in 2009 using Clean Air and Climate Protection (CACP2009) software.	CO2; PFCs; CH4; SF6; N2O; HFCs	1298620.0	590282.0	699338.0	Decreased	The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased, but the per capita emissions have decreased since we have been tracking emissions. See attachment above.	2015.0	73415.0	8564000000.0	USD     US Dollar	2013.0	BEA-for Metropolitan Statistical Area	10.5	65.5	203.0	(41.6611, -91.5302)	(37.09024, -95.712891)	2013.0	0.9930695661548413		A
172	35393	City of St Louis	USA	St Louis		2016.0	2014-01-01 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	We are using the 4th edition of the Protocol.	CO2; CH4; N2O; HFCs	8703679.12	2481945.42	6153317.9	Decreased	The City has encouraged and facilitated numerous sustainability initiatives in the past several years	2010.0	319294.0	149900000000.0	USD     US Dollar	2014.0	https://www.stlouis-mo.gov/government/departments/budget/documents/upload/FY15-AOP-Summary-Overview-and-charts-S-1-to-S-82.pdf	13.9	170.9	142.0	(38.6270025, -90.1994042)	(37.09024, -95.712891)	2014.0	0.9921394390743579		A
176	31182	City of San Francisco	USA	San Francisco	C40	2016.0	2012-12-31 00:00:00	Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Used ICLEI U.S. Community Protocol to verify calendar year 2012 emissions.  During November 2015, the city reshaped and scoped calendar year 2012 emissions according to the new GPC BASIC framework to Compact of Mayors requirements.  The GPC expanded the scope of the verified 2012 inventory to report sources such as from natural gas leakage from the distribution system, district electricity, transmission and distribution electric losses, wastewater, agriculture/farming, ships and boats (non-ferry), off-road equipment and stationary sources.  This resulted in a higher emission number than originally verified by a third party.	CO2; CH4; N2O	5381687.0	4186111.0	1131352.0	Other	Methology Change: There was an increase in the emission number from inventory years 2010 to 2012.  The shift to the BASIC GPC framework during 2015 included categories that were otherwise excluded or not calculated during previous CDP reporting years.  Rather than rectify previous years, especially under the new GPC BASIC categories in which historic data is largely unavailable, CDP/COM reports will include these categories moving forward. However, to capture emission trends since 1990, the City will continue trending according to previously utilized ICLEI U.S. Community Protocol scopes in which case sectors such as Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions continues to decrease due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies.	2015.0	864816.0	89205219000.0	USD     US Dollar	2015.0	Moody's Analytics and Bureau of Economic Analysis	10.4	121.0	142.0	(37.7749295, -122.4194155)	(37.09024, -95.712891)	2012.0	0.9880661956000042		A
1	59996	Batangas City	Philippines	Batangas		2016.0	2010-12-20 00:00:00	A metropolitan area	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2; CH4; N2O	457288.0	344419.0	107239.0			2015.0	332458.0		PHP     Philippine Peso			25.0	285.0	10.0	(13.756465, 121.058308)	(12.879721, 121.774017)	2010.0	0.9876882839698395		A
102	31171	Ayuntamiento de Madrid	Spain	Madrid	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; PFCs; CH4; SF6; N2O; HFCs	10257048.0	6795577.0	3250803.0	Decreased	Indirect (Scope 2 + Scope 3) emissions decreased by 24,86% in 2013 in comparison to 2012, whereas electricity consumption decreased by 5,19 % in that period. This trend is explained by a decrease of 24,86 % in the electricity EF, as a result of the increasing penetration of renewable energy  in the national electricity mix.	2015.0	3156572.0	125948386.0	EUR     Euro	2014.0	Contabilidad Municipal Trimestral. Ciudad de Madrid. Base 2010. Serie 2000-2015	15.0	604.0	655.0	(40.1076253, -3.3875673)	(40.463667, -3.74922)	2013.0	0.979461147105873		A
38	42120	City of Salvador	Brazil	Salvador	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	3698964.0	3242166.0	366395.0			2014.0	2902927.0	4745.0		2012.0	IBGE	26.0	692819.0	8.0	(-12.97304, -38.502304)	(-14.235004, -51.92528)	2013.0	0.9755599135325459		A
7	31154	Bogotá Distrito Capital	Colombia	Bogotá 	C40	2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses.	CO2; CH4; SF6; N2O	12359324.53	10679585.14	1094791.71	Decreased	Emissions for Energy sector in 2015 are reduced because the projection is from the emissions inventory for 2012 , because the emission factor has a high confidence in compración to that used in 2008. GHG emissions in the waste sector decreased because the mitigation measures as burning torch and recovery of biogas for energy self-generation are implemented. Emissions of greenhouse gases have increased for the ASUS sector compared to 2014, because they were projected of the emissions inventory of greenhouse gases of the year 2008, from growth data of the bovine population, ecological structure principal, agriculture in Cundinamarca, and production of products of wood, which have an increasing trend over time.	2015.0	7878783.0	50464206.0	USD     US Dollar	2015.0	DANE 2016	15.0	1776.0	2650.0	(4.598056, -74.075833)	(4.570868, -74.297333)	2015.0	0.9526715494378237		A
139	31108	City of Houston	USA	Houston	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	33428301.0	16075539.0	14511262.0	This is our first year of calculation	We are using the same inventory we submitted last year, and that was our first year conducting a community-wide GHG inventory using the ICLEI Community Protocol.	2013.0	2195914.0	517400000000.0	USD     US Dollar	2014.0	https://www.houston.org/pdf/research/quickview/Employment-Forecast.pdf	21.0	1625.0	13.0	(29.7601927, -95.3693896)	(37.09024, -95.712891)	2014.0	0.9149971755968094		A
177	54110	City of Santa Monica	USA	Santa Monica		2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	334591.0	119026.0	215565.0	Decreased	State renewable portfolio standard, low carbon fuel standard, electric vehicles, 15 x 15 Action Plan	2014.0	92000.0					20.0	20.0	320.0	(34.0219, -118.4814)	(37.09024, -95.712891)	2015.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B
166	3417	New York City	USA	New York City	C40	2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; SF6; N2O	53306007.0	38962264.0	14343743.0	Decreased	The most significant driver was a milder winter in 2015 versus 2014.	2016.0	8537673.0	1558520000000.0	USD     US Dollar	2015.0	http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor	13.0	784.0	10.0	(40.7127837, -74.0059413)	(37.09024, -95.712891)	2015.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B
141	54102	City of Albany	USA	Albany		2017.0	2010-01-03 03:10:00	Administrative boundary of a local government	Other: New York Community and Regional GHG Inventory Guidance	http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/	CO2; PFCs; CH4; SF6; N2O; HFCs	1217091.0	663997.0	553094.0	Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.	Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.	2010.0	97856.0	49621.0	USD     US Dollar	2013.0	U.S. Bureau of Economic Analysis	9.0	55.0	9.0	(42.6526, -73.7562)	(37.09024, -95.712891)	2010.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
98	43937	Wellington City Council	New Zealand	Wellington		2017.0	2014-07-03 02:15:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; PFCs; CH4; SF6; N2O; HFCs	792959.0	621179.0	171780.0	Decreased	The decrease in emissions we have experienced is largely due to reductions in emissions from stationary energy. This decrease is primarily from a reduction in demand, but also from the increasing proportion of renewable energy generated in New Zealand.	2017.0	209102.0	18333000.0	NZD     New Zealand Dollar	2015.0	Infometrics	12.7	290.1		(26.661763, -80.268357)	(-40.900557, 174.885971)	2014.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B
117	43907	City of Indianapolis	USA	Indianapolis		2017.0	2013-01-03 03:13:00	Administrative boundary of a local government	Other: Hestia Project	The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. Though the reported number has been tested and reported through peer-reviewed journals, there is limited confidence in the comparability to other cities. Published in Environmental Science and Technology by Kevin R. Gurney, Igor Razlivanov, Yang Song, Yuyu Zhou, Bedrich Benes,and Michel Abdul-Massihhttp://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf	CO2	2160364.98	726155.11	1434209.86	This is our first year of calculation		2015.0	853000.0	125000000000.0	USD     US Dollar	2014.0	http://bea.gov/newsreleases/regional/gdp_metro/2014/pdf/gdp_metro0914.pdf	11.7	953.0	230.0	(39.767625, -86.178469)	(37.09024, -95.712891)	2013.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
158	62864	City of Lancaster, PA	USA	Lancaster, PA		2017.0	2016-01-03 03:16:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	This inventory is only about 75% complete, and the data that is included needs to be vetted still. The transportation data is especially lacking and major stationary sources (other than natural gas) have not been included yet.	CO2; CH4; N2O	578625.0	364183.0	214442.0	Other:	All GHG calculations are form 2015 data except the transportation emissions, which are 2014. We are still using 2015 data for this reporting.	2016.0	60000.0					11.5	7.3	112.0	(40.037875, -76.305514)	(37.09024, -95.712891)	2016.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
178	54085	City of Savannah	USA	Savannah		2017.0	2014-01-03 03:14:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.	CO2; CH4; N2O	3609546.0	2381327.0	1228219.0	This is our first year of calculation		2015.0	145674.0	15905000000.0	USD     US Dollar	2014.0	Bureau of Economic Analysis:  http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=42340&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels	19.0	175.0	15.0	(32.0835, -81.0998)	(37.09024, -95.712891)	2014.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
55	59165	Gladsaxe Kommune	Denmark	Gladsaxe Kommune		2017.0	2015-01-03 03:15:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	331283.0	247599.0	83684.0	Decreased	Energy saving plans, projects and goals. Expansion of district heating which provide Citizens and Companies with eco-friendly heating.	2015.0	67347.0	35234000.0	DKK     Danish Krone	2014.0	Statistic Denmark		24.9		(55.733461, 12.488686)	(56.26392, 9.501785)	2015.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
107	54395	Taoyuan City Hall	Taiwan	Taoyuan 		2017.0	2014-01-03 03:14:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	For level of confidence, we multiply the accuracy level of collected activity data by the accuracy level of emission coefficients used.Accuracy level classification for activity data:?H?Regional statistics data :1?M?Cities statistics data:2?L?Central statistics data:3Accuracy level classification for emission coefficients:?H?Regional emission coefficients: 1 ?M?National emission coefficients: 2?L?International emission coefficients: 3The overall result is 5.13, the score falls within range 4-7, which was classified as medium level of confidence	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	35764526.0208	21143194.6	14621331.42	Increased	Our industry is growing continuously, so our total emission is slowly increasing. The sectors with increasing emissions are: industrial energy (fuel) by 14.2%; industrial processes and product use by 12.1%; buildings and AFOLU by 3.7%. The sectors with emission reductions are: agriculture by 0.4%; industrial energy (electricity) by 0.04%.	2017.0	2153521.0	529600000000.0	USD     US Dollar	2014.0	World Bank	23.0	1220.9		(24.993628, 121.30098)	(23.69781, 120.960515)	2014.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
167	50560	City of Oakland	USA	Oakland		2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	Other: ICLEI Community Protocol	Energy data is high confidence, Transportation data is partially simulated (medium) partially fuel consumption (high), and materials use is medium-high (waste composition data is thorough but not collected frequently enough)	CO2; CH4; N2O	1745827.0	956414.0	789413.0	Decreased	In comparison to the 2015 report, emissions have decreased in both Scope 1 and Scope 2 emissions.	2015.0	419000.0	24080000000000.0	USD     US Dollar	2013.0	US Bureau of Economic Analysis San Francisco-Oakland-Hayward Metropolitan area	15.1	144.0	13.0	(37.8044, -122.2708)	(37.09024, -95.712891)	2015.0	1.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A
