	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
7	Lausanne	500.0	12.0	Administrative boundary of a local government			0.007949217	0.0038276228		8834000000.0	(46.5198, 6.6335)	Ville de Lausanne	140000.0	2015.0	A	Other	0.0	0.0			calculated by city government	CO2		Decreased	55.0	Baseline Emission Inventory of the Covenant of Mayor	1.0	see SEAP	2016.0				456843.0	CDP	tCO2	2013.0	45730.0				499573.0		2014.0		0.007949217	Switzerland												Europe	1.0060051283796363
169	Leicester	60.0	9.9	Administrative boundary of a local government			0.0260463068	0.0181362582		10420059749.0	(52.6333, -1.1333)	City of Leicester	333812.0	2013.0	D	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.26	10550000000.0		GBP     Pound Sterling	Regional Gross Value Added (Income Approach) NUTS3 Tables from Office for National Statistics	CO2		Decreased	73.0		40990000000.0	DECC have attributed this to a shared increase across the UK due to the warmer average temperatures experienced in 2013 compared to 2012. Relatively high coal prices in 2013 led to a reduction in coal for electricity generation, which contributed to reduced emissions from the industrial/commercial and domestic sectors.	2016.0					CDP	tCO2	2013.0					1719600.0		2013.0		0.0240104197	United Kingdom												Europe	
233	León de los Aldamas															Community																	94311876.215	carbonn	tCO2-eq	2012.0								Municipality		Mexico			Municipality of León de los Aldamas	USD	1766.0	2013.0	21.13	-101.69	2066.3028532575	1436733.0	2010.0	Latin America & Caribbean	
279	Liaoyang				81.2				0.562260826104							Other			3784717.0				34104.15										584207.552929	PKU	tCO2	2010.0						1039033.0				China		Liaoyang										East Asia	
1	Lima	154.0	18.0	A metropolitan area		CDP2016 TOT recalculated by summing both CDP2016 scopes.	0.0099975944	0.0056007279000000005			(-12.046374, -77.042793)	Metropolitan Municipality of Lima	8755262.0	2014.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0			INEI	CO2; CH4; N2O		This is our first year of calculation	2672.0	La metodología Global Protocol for Community- scale Greenhouse Gas emissions (GPC) establece que los límites pueden definirse en cualquiera de tres niveles: Internacional, inter-ciudades/subnacional, o al interior de la ciudad.	1.0		2016.0	9927850.366431482	10466790.421042804	11005730.475654123	12378734.0	CDP	tCO2-eq	2012.0	15432105.0	25359955.36643148	25898895.421042804	26437835.475654125	27810839.0				0.0099975944	Peru												Latin America & Caribbean	1.0
311	Linyi				345.5				1.2654							Other			9057300.0				35454.96										5723315.622	PKU	tCO2	2010.0						4522930.0				China		Lingyi										East Asia	
35	Lisbon	50.0	17.3	Administrative boundary of a local government			0.0361368851	0.0311275785		68133192.0	(38.7222524, -9.1393366)	City of Lisbon	547773.0	2011.0	A	Other	0.0	0.0			http://www.portugalglobal.pt/EN/InvestInPortugal/WhyPortugal/Lisbon/Documents/DatasheetNUTIII_Grande_Lisboa.pdf	CO2		Decreased	85.0	The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used. To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system was obtained from National Energy Balance  from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt). The latest value was used, which refers to 2014 conditions.	1.0	The decrease in electricity emissions is related with increase of renewables in the national electricity generation mix. The decrease in diesel and gasoline is related with a correction of national statistics of energy for the period 2009-2012, where this figures were overestimated for Lisbon. The 2013 and 2014 values are now correct. Fuel-oil consumption also decreased by conversion to natural gas. Natural gas consumption increase.	2016.0				1023910.0	CDP	tCO2	2014.0	910451.0				1934361.0		2010.0		0.0361368851	Portugal												Europe	1.0
332	Liuzhou				148.3				0.48600741691699995							Other			9111262.0				39919.53										1053120.72358	PKU	tCO2	2010.0						2166882.0				China		Liuzhou										East Asia	
5	Ljubljana			Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.017327694299999998	0.0146194223		8220687536.0	(46.056947, 14.505751)	City of Ljubljana	288307.0	2016.0	B	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		EUR     Euro	Regional data (2014: 25329€/capita, source: stat.si), no special data for Ljubljana ( €/capita), $:€: 1,13	CO2; CH4; N2O		Decreased	275.0		1.0	due to the actions taken. city centre closed for traffic, ordering of electricity (100 % RES), refurbishment of building (public and private through subsidies from public companies and state Eco-fund), iintroduction of CNG and electric buses in public transport, installation on electric cars charging stations, ...	2017.0	1689928.5243045972	1700859.917161653	1711791.3100187092	1829808.0	CDP	tCO2-eq	2014.0	904042.0	2593970.5243045967	2604901.9171616533	2615833.310018709	2733850.0		2014.0		0.017327694299999998	Slovenia												Europe	1.0
78	London, ON	251.0	7.9	Administrative boundary of a local government			0.1017275144	0.046860437000000005		15400000000.0	(42.9837, -81.2497)	City of London, ON	375000.0	2014.0	A	International Emissions Analysis Protocol (ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar	Conference Board of Canada, London Census Metropolitan Area data prorated by population and adjusted to 2007	CO2; CH4; N2O		Increased	421.0	as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program	151500000000.0	"Winter temperatures in 2014 were below normal (i.e., the ""Polar Vortex"") compared to 2013 (normal winter temperatures) and the unusually warm winter of 2012. As a result, overall natural gas use was up by eight percent in 2014 compared to 2013. Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2014, greenhouse gas emissions were 19 percent lower than 2007. In fact, London's emissions in 2014 were six percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to. 
Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, only 0.1 percent of Ontario's electricity demand was generated by burning coal as these plants were shut down, and 10 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 62 percent nuclear, 24 percent hydroelectric, 4 percent wind and other renewables. Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions."	2016.0	1999317.15275	2139141.282125	2278965.4115	2771000.0	CDP	tCO2-eq	2014.0	299000.0	2298317.15275	2438141.282125	2577965.4115	3070000.0		2014.0		0.0734936045	Canada												North America	1.0
52	Los Altos Hills	89.0	14.3	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(37.3797, -122.1375)	Los Altos Hills	8334.0	2013.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0				CO2		Decreased	21.8	We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.	766200000000.0	From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.	2016.0				47552.0	CDP	tCO2	2015.0	9691.0				57243.0				0.0356646952	USA												North America	1.0
179	Los Angeles	95.0	18.0	Administrative boundary of a local government		S1 derived from TOT - S2 in CDP2016 dataset	0.0367294791	0.017698981699999998		797697000000.0	(34.0522342, -118.2436849)	City of Los Angeles	3928864.0	2014.0	C	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	US Dept of Commerce (LA Metro Area)	CO2; CH4; N2O		Decreased	1215.0		766200000000.0	Two primary reasons for the slight reduction are reduction in GHG intensity of electricity system and increased fuel economy of light duty vehicles. From 1990, the decline of manufacturing withing LA city limits also contributed to the decline.	2016.0	15671710.362816922	16659898.192879418	17648086.022941913	19595119.0	CDP	tCO2-eq	2013.0	9429688.0	25101398.36281692	26089586.192879416	27077774.022941913	29024807.0		2014.0		0.0356646952	USA												North America	1.0
314	Luoyang				193.6				0.877344							Other			7262821.0				31587.96										2534080.92912	PKU	tCO2	2010.0						2888355.0				China		Luoyang										East Asia	
199	Lyon															Community																	7191700.0	carbonn	tCO2-eq	2010.0								Independent intercommunality		France			Lyon Metropolis	USD	726491000000.0	1971.0	45.7454	4.84195	843110059023.7191	1324637.0	2012.0	Europe	
112	Madrid	655.0	15.0	Administrative boundary of a local government			0.0140906081	0.0130245903		125948386.0	(40.1076253, -3.3875673)	Ayuntamiento de Madrid	3156572.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		EUR     Euro	Contabilidad Municipal Trimestral. Ciudad de Madrid. Base 2010. Serie 2000-2015	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	604.0		1.0	Indirect (Scope 2 + Scope 3) emissions decreased by 24,86% in 2013 in comparison to 2012, whereas electricity consumption decreased by 5,19 % in that period. This trend is explained by a decrease of 24,86 % in the electricity EF, as a result of the increasing penetration of renewable energy  in the national electricity mix.	2016.0	5550192.46823987	5597301.935385613	5644411.402531357	6795577.0	CDP	tCO2-eq	2013.0	3250803.0	9011663.46823987	9058772.935385613	9105882.402531356	10257048.0		2014.0		0.0140906081	Spain												Europe	0.979461147105873
133	Magdeburg	56.0	9.7	A metropolitan area			0.0111077293	0.0079727498			(52.08889, 11.586164)	Landeshauptstadt Magdeburg	238000.0	2015.0	D	Other	0.4	8810000000.0				CO2			201.8	Software ECORegion smart from the Climate Alliance	22220000000.0		2016.0					CDP	tCO2	2012.0					1400000.0				0.0098647424	Germany	2004.0											Europe	
61	Makati			Administrative boundary of a local government			0.0084021612	0.007693555699999998			(14.559004, 121.081632)	City Government of Makati	529039.0	2010.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		PHP     Philippine Peso	Budget of Expenditures and Sources of Financing NEDA	CO2; CH4; N2O		Increased	27.4	Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol. *GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'.	1.0	Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons: a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained. b. With the increasing population, waste generation also increases. c. Increased construction and development projects are also observed leading to increased in the demand for energy. d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.	2016.0	338124.0131455696	343372.3323771726	348620.6516087756	462586.0	CDP	tCO2-eq	2011.0	1197784.0	1535908.0131455697	1541156.3323771725	1546404.6516087756	1660370.0		2015.0		0.0084021612	Philippines												Southeast Asia	1.0
234	Malang															Community - GPC																	775422.0	carbonn	tCO2-eq	2017.0								Municipality		Indonesia			City of Malang	USD	51827980000.0	2017.0	-7.969633999999999	112.633156	60147601659.0434	881794.0		Southeast Asia	
172	Manchester	250.0	9.5	A metropolitan area		S1 derived from TOT - S2 in CDP2016 dataset	0.0260463068	0.0181362582		87773000000.0	(53.4575955, -2.1578377)	Greater Manchester	2762000.0	2014.0	C	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.26	10550000000.0			UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Decreased	1277.0	A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.	40990000000.0	Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport	2016.0	7730420.1820808	7957562.258962799	8184704.3358448	9587290.0	CDP	tCO2-eq	2013.0	5302028.0	13032448.182080802	13259590.2589628	13486732.335844802	14889318.0		2013.0		0.0240104197	United Kingdom												Europe	1.0
84	Melbourne	31.0	15.0	Administrative boundary of a local government			0.039682077	0.0277933709		90600000000.0	(-37.814107, 144.96328)	City of Melbourne	137889.0	2016.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.5	31610000000.0		AUD     Australian Dollar	http://melbourne.geografia.com.au/	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	38.0	City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. Electricity, gas and water data was provided directly by the utility companies. Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.	62640000000.0	2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.	2016.0	655280.7959641396	666649.7963016485	678018.7966391572	785326.0	CDP	tCO2-eq	2015.0	3587094.0	4242374.79596414	4253743.796301648	4265112.7966391565	4372420.0		2015.0		0.0336826837	Australia												Oceania	1.0
90	Mexico City	2240.0	16.0	Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area			0.023195197400000003	0.0078818986		2582213000000.0	(19.4326077, -99.133208)	Mexico City	8874724.0	2014.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.38	2973000000.0		MXN     Mexican Peso	INEGI	CO2; CH4; N2O; HFCs		Decreased	1485.0	Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City	7800000000.0	Emissions Inventory has a reduction of  4% due to: • Lower consumption of fossil fuels in the residential sector • Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory it´s 0.49 t CO2 /Mwh. • The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014. • Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the Secretaría de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% • On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.; because of that, the 2014 emissions are bigger than 2012. •For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014.	2016.0	12529046.63334248	13706474.59627743	14883902.55921238	16842493.45	CDP	tCO2-eq	2014.0	6812617.51	19341664.14334248	20519092.10627743	21696520.06921238	23655110.96		2014.0		0.0173584747	Mexico												Latin America & Caribbean	1.0
100	Milano	122.0	15.5	Administrative boundary of a local government			0.0151458624	0.011383130900000002			(45.802578, 9.086356)	Comune di Milano	1350680.0	2014.0	A	Other	0.01	68000000.0				CO2			182.0	We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this	7800000000.0	The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector	2016.0				3728678.0	CDP	tCO2	2013.0	2248100.0				5976779.0				0.0151130591	Italy												Europe	0.9999998326857996
50	Minneapolis	264.0	7.9	Administrative boundary of a local government			0.0367294791	0.017698981699999998		235700000000.0	(44.983334, -93.26667)	City of Minneapolis	407207.0	2014.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels	CO2; CH4; N2O		Increased	139.8	"A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector."	766200000000.0	Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).	2016.0	2483930.4209274207	2586351.121088144	2688771.821248866	2890572.0	CDP	tCO2-eq	2014.0	1904136.0	4388066.420927421	4490487.121088143	4592907.821248867	4794708.0		2014.0		0.0356646952	USA												North America	1.0
92	Moita	10.0	17.5	Administrative boundary of a local government			0.0361368851	0.0311275785			(41.30284, -8.65731)	Município de Moita	66029.0	2011.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0				CO2		Decreased	55.0	This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)	1.0	Consumption reduction	2016.0				49910.0	CDP	tCO2	2013.0	46598.0				96508.0				0.0361368851	Portugal												Europe	1.0
76	Montreal	17.0	6.8	Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information			0.1017275144	0.046860437000000005		120118000000.0	(45.5086699, -73.5539925)	Ville de Montreal	1886481.0	2011.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.51	77960000000.0		CAD     Canadian Dollar	Ville de Montréal, Montréal en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL	CO2; CH4; N2O		Stayed the same	500.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)	151500000000.0	We have not produced a new inventory.	2016.0	9752290.921698593	10455692.424118536	11159093.926538484	13634331.0	CDP	tCO2-eq	2009.0	88611.0	9840901.921698593	10544303.424118536	11247704.926538484	13722942.0		2014.0		0.0734936045	Canada												North America	1.0
200	Msunduzi															Community - GPC																	1289214.0	carbonn	tCO2-eq	2015.0								Municipality		South Africa			Msunduzi Local Municipality	USD	178449310508.0	2011.0	-29.6179	30.3825	210255077800.522	618536.0	2011.0	Africa	
289	Mudanjiang				74.3				0.462093915341							Other			2354881.0				32498.01										744132.0123810001	PKU	tCO2	2010.0						1610348.0				China		Mudanjiang										East Asia	
235	Naga															Community																	243527.0	carbonn	tCO2-eq	2014.0								Special municipality / Federal district		Philippines			City of Naga				13.62178	123.194824	568720837.96945	196003.0	2015.0	Southeast Asia	
95	Nagoya		16.1	Administrative boundary of a local government			0.0028872234	0.0025182088		11847100000000.0	(35.181446, 136.906398)	City of Nagoya	2274511.0	2015.0	A	Other	0.0	0.0		JPY     Japanese yen	本市統計	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	326.0	コメント欄のとおり: 地球温暖化対策地方公共団体実行計画（区域施策編）策定マニュアル（第１版）に基づき、市内における人為的な活動に伴う排出量を把握している。	1.0	市内におけるエネルギー消費量が減少したことに加えて、電気事業者の取組みによって電力原単位が改善したことが大きく影響している。	2016.0	7506123.401282793	7517873.990018841	7529624.57875489	7690000.0	CDP	tCO2-eq	2013.0	5730000.0	13236123.401282793	13247873.99001884	13259624.578754887	13420000.0		2012.0		0.0028872234	Japan												East Asia	1.0
236	Nagpur															Community																	1534552.31	carbonn	tCO2-eq	2007.0								Municipality		India			Nagpur Municipal Corporation				21.15	79.09	4719820245.6867285	2405421.0	2011.0	South Asia	
303	Nanchang				300.9				0.75							Other			15009764.0				38344.43										2484926.25	PKU	tCO2	2010.0						3313235.0				China		Nanchang										East Asia	
148	Nancy	212.0	10.5	A metropolitan area			0.032012112	0.0086287785			(48.692054, 6.184417)	Communauté urbaine du Grand Nancy	265000.0	2014.0	D	Other	0.49	770000000.0		EUR     Euro		CO2; CH4; N2O; HFCs; PFCs; SF6			142.3	http://www.citepa.org/fr/activites/inventaires-des-emissions/secten	1566000000.0		2016.0					CDP	tCO2-eq	2016.0		1997781.966284	2041878.214907	2085974.4635299998	2150000.0		2015.0		0.0205145598	France	2004.0											Europe	
291	Nanjing, Jiangsu				736.6				1.55322211							Other			45152168.0				49704.21										9689288.421489999	PKU	tCO2	2010.0						6238186.0				China		Nanjing										East Asia	
331	Nanning				262.3				1.01732512932							Other			13039407.0				39013.88										3640328.0819800003	PKU	tCO2	2010.0						3578333.0				China		Nanning										East Asia	
201	Nantes															Community																	2076210.0	carbonn	tCO2-eq	2003.0								Intercommunality		France			Urban Community of Nantes Métropole	USD	21300000000.0	2011.0	47.2181	-1.5528	25096388125.0208	602923.0	2012.0	Europe	
180	Nashville and Davidson	182.0	15.1	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT = s1, s2 does not exist (Case 1b) in CDP2016. Soln: Replace with CDP2017 values (TOT, s1 and s2)	0.0367294791	0.017698981699999998		106695000000.0	(36.1627, -86.7816)	Metropolitan Government of Nashville and Davidson County	678889.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	MSA Data (not county only) from US DOC's BEA http://bea.gov/iTable/iTable.cfm?reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=34980&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels#reqid=70&step=10&isuri=1&7003=200&7004=naics&7035=-1&7005=-1&7006=34980&7001=2200&7036=-1&7002=2&7090=70&7007=2014&7093=levels	CO2; CH4; N2O		Increased	1367.0		766200000000.0	There was a small increase since the 2011 inventory, which was an incomplete inventory due to limited availability of data. Because of limited documentation of the 2011 inventory, it is difficult to compare the two inventories. There has been a decrease in emissions since the 2005 inventory, even with a growing population. Contributing to decreases in reported community emissions are lower emissions from Nashville’s electric power source, TVA (their emissions per unit energy output declined by about 15% from 2005 to 2014), and more efficient vehicles (vehicle CO2e emissions per mile have decreased from about 450 to 350 grams/mile between 2005 and 2014). Meanwhile (although specific data is unavailable to demonstrate the quantity), building energy efficiency has been improving through both new and retrofit projects during this time frame. LEED certification and Energy Star are examples of growing programs that help improve building energy efficiency.	2017.0	6002247.660730283	6173001.814542502	6343755.9683547225	6680194.0	CDP	tCO2-eq	2014.0	5801169.0	11803416.660730282	11974170.814542502	12144924.968354724	12481363.0		2014.0		0.0356646952	USA												North America	1.0
202	Nelson Mandela															Community																	4986052.0	carbonn	tCO2-eq	2012.0								Independent municipality		South Africa			Nelson Mandela Bay Metropolitan Municipality	ZAR	42000000000.0	2012.0	-33.0	25.0	6002821921.49932	1152115.0	2011.0	Africa	
181	New Orleans	-1.0	20.9	A metropolitan area		S1 derived from TOT - S2 in CDP2016 dataset	0.0367294791	0.017698981699999998		80278000000.0	(29.9511, -90.0715)	City of New Orleans	389617.0	2015.0	C	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	Bureau of Economic Analysis	CO2; CH4; N2O		This is our first year of calculation	468.0		766200000000.0		2016.0	2030814.9966073246	2128811.4601615383	2226807.923715751	2419891.0	CDP	tCO2-eq	2014.0	2138684.0	4169498.996607325	4267495.460161538	4365491.923715752	4558575.0		2014.0		0.0356646952	USA												North America	1.0
29	New Taipei	10.0	21.0	Administrative boundary of a local government			0.0149246533	0.0129213814		530043000000.0	(25.0111, 121.4458)	New Taipei City Government	3966818.0	2014.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		USD     US Dollar	Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016)	CO2; CH4; N2O; HFCs; PFCs; SF6		Increased	2053.0	GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively.	1.0	Population growing and new regulation on emissions reporting for high carbon-density industries.	2016.0	4492239.266082417	4603491.876527816	4714744.486973215	6149934.0	CDP	tCO2-eq	2014.0	11083990.0	15576229.266082415	15687481.876527814	15798734.486973215	17233924.0		2014.0		0.0149246533	Taiwan												East Asia	1.0
