	city name	City Name (CDP)	country	region (CDP)	Boundary (CDP)	Reporting Year (CDP)	Measurement year only (CDP)	Current Population (CDP)	Current Population Year (CDP)	scope fraction (CDP)	Total City-wide Emissions (metric ton CO2e) (CDP)	Total Scope 1 Emissions (metric ton CO2e) (CDP)	Total Scope 2 Emissions (metric ton CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	Production (m3)	Exports (m3)	Export/Production	data from CIA World Fact Book for 2014	City Location (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)
91	Adelaide	City of Adelaide	Australia	Oceania	Administrative boundary of a local government	2016.0	2013.0	23169.0	2015.0	1.0	486541.0	63724.0	422817.0		A	CO2; CH4; N2O	464689.9652379316	468510.5509093012	466600.2580736164	41872.965237931596	45693.5509093012	43783.258073616395	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.	18.0	16.0	38.0	0.0277933709	0.039682077	0.0336826837	62640000000	31610000000	0.5		(-34.928499, 138.600746)	18360000000.0	AUD     Australian Dollar	2015.0	:  http://economy.id.com.au/adelaide
92	Moita	Município de Moita	Portugal	Europe	Administrative boundary of a local government	2016.0	2013.0	66029.0	2011.0	1.0	96508.0	49910.0	46598.0		A	CO2							Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)	Decreased	Consumption reduction	17.5	55.0	10.0	0.0311275785	0.036136885099999995	0.036136885099999995	1	0	0.0		(41.30284, -8.65731)				
93	Canberra	Canberra	Australia	Oceania	Administrative boundary of a local government	2016.0	2015.0	400000.0	2016.0	1.0	4003900.0	1757500.0	2246400.0		A	CO2; CH4; N2O; HFCs; SF6	3626653.94256	3692614.24592	3659634.09424	1380253.9425599999	1446214.2459200001	1413234.09424	2006 IPCC Guidelines for National Greenhouse Gas Inventories	The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale.	Increased	The ACT emissions have increased by 4.6% since the last inventory. This is largely due to two external factors. The first is the National repeal of the carbon price, which saw a higher percentage of supplied energy come from fossil fuels, increasing the emissions factor for the electricity grid despite the ACT’s own renewable energy coming online. The second was a below average minimum winter temperatures which are linked to more days requiring heating for households. The slight increase in demand for electricity, coupled with the increased emission factor saw a spike in emissions from the electricity sector compared to last year.	13.5	2358.0	578.0	0.0277933709	0.039682077	0.0336826837	62640000000	31610000000	0.5		(-35.3075, 149.1244)	34866000000.0	AUD     Australian Dollar	2015.0	ABS, 2015
94	Hjørring	Municipality of Hjørring	Denmark	Europe	Other: Energy plan for Hjoerring Municipality	2016.0	2014.0	65308.0	2016.0	1.0	417000.0	289000.0	128000.0		A	CO2							Other		Decreased	Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially. Industry: Large decrease in fuel consumption, especially from fossil fuels.	7.5	7.5	22.0	0.0106834006	0.01703133	0.0125594652	6412000000	4517000000	0.7		(57.456779, 9.995764)	19088026316.0	DKK     Danish Krone		http://www.danskbyggeri.dk/media/7648/regional-oversigt-over-bnp-i-kommunerne.pdf
95	Nagoya	City of Nagoya	Japan	East Asia	Administrative boundary of a local government	2016.0	2013.0	2274511.0	2015.0	1.0	13420000.0	7690000.0	5730000.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	13236123.401282793	13259624.578754889	13247873.99001884	7506123.401282793	7529624.57875489	7517873.990018841	Other	コメント欄のとおり: 地球温暖化対策地方公共団体実行計画（区域施策編）策定マニュアル（第１版）に基づき、市内における人為的な活動に伴う排出量を把握している。	Decreased	市内におけるエネルギー消費量が減少したことに加えて、電気事業者の取組みによって電力原単位が改善したことが大きく影響している。	16.1	326.0		0.0025182088	0.0028872234	0.0028872234	1	0	0.0		(35.181446, 136.906398)	11847100000000.0	JPY     Japanese yen	2012.0	本市統計
96	Athens	City of Athens	Greece	Europe	Administrative boundary of a local government	2016.0	2014.0	664046.0	2011.0	1.0	4711576.0	1260355.0	3451221.0		A	CO2; CH4; N2O	4442677.416489312	4463097.474582696	4452887.445536004	991456.4164893129	1011876.474582696	1001666.4455360044	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		This is our first year of calculation	It is the first an inventory has been developed using the GPC Standard. Previous inventory did not use this methodology so the data cannot be compared.	17.5	39.0	208.0	0.013363883	0.0144621319	0.0144621319	1	0	0.0		(37.98381, 23.727539)	19951634580.0	EUR     Euro	2013.0	www.statistics.gr
97	La Paz	Municipalidad de La Paz	Bolivia	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2012.0	789541.0	2015.0	1.0	1426533.8	1152922.4	273611.4		A	CO2; CH4; N2O; HFCs; PFCs; SF6	610572.5985874569	1276908.3025992808	943740.4505933688	336961.1985874567	1003296.9025992807	670129.0505933687	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Global Protocol for Community-Scale GHG Emission Inventories (GPC), norma Internacional ISO 14064:1 para Gases de Efecto Invernadero, las herramientas de medición del Greenhouse Gas Protocol (GHG Protocol) y la metodología MC3 (Método Compuesto de las Cuentas Contables5) de Carbonfeel.   - Alcance 1. Emisiones Directas de GEI: Fuentes de emisión que son de propiedad de la organización o están contraladas por esta. Las emisiones bajo este alcance son de reporte obligatorio según la NB-ISO 14064. - Alcance 2. Emisiones Indirectas de GEI por energía: Emisiones indirectas de GEI que provienen de la generación de electricidad de origen externo, consumido por la organización. Las emisiones bajo este alcance también son de reporte obligatorio, según la NB-ISO 14064. - Alcance 3. Otras Emisiones Indirectas de GEI: Las emisiones de GEI indirectas ocurren como consecuencia de las actividades de la organización, pero provienen de fuentes que no son controladas por la misma. Las emisiones bajo este alcance son de reporte voluntario, según la NB-ISO 14064.	This is our first year of calculation	Esperamos que con la implementación de algunas líneas de acción que se fueron adoptando a lo largo de este tiempo, se haya avanzado en la disminución de la huella de carbono y huella hídrica	13.0	2010.0	3200.0	0.0067681954	0.0542131962	0.036909383399999995	48970000000	17860000000	0.36		(-16.5, -68.15)		BOB     Boliviano	2013.0	Instituto Nacional de Estadística
98	Kadiovacik	Village of Kadiovacik	Turkey	North Africa, Middle East, West Asia	Administrative boundary of a local government	2016.0	2015.0	216.0	2016.0	1.0	443.79	404.65	39.14		A	CO2							Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	Due to the energy saving training to the villagers	19.0	5947.0	327.0	0.025591040699999998	0.0296417873	0.0294430956	632000000	31000000	0.05		(38.3434574, 26.553613)	10000.0	TRY     New Turkish Lira	2016.0	Governental
99	Caracas	Alcaldía Metropolitana de Caracas	Venezuela	Latin America & Caribbean	A metropolitan area	2016.0	2015.0	3518590.0	2015.0	0.9999999437405006	17774776.0	14364103.0	3410672.0		A	CO2; CH4; N2O	13332003.84007642	16889741.804715402	15110872.822395911	9921330.84007642	13479068.804715404	11700199.822395913	2006 IPCC Guidelines for National Greenhouse Gas Inventories	We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.	Increased	Emissions have increased slightly mainly due to the increase electricity consumption and waste generation due to population growth. Emissions from the transport sector practically have not increased, reflecting the limited increase of the automotive park in 2015.	25.0	776.0	950.0	0.0089832473	0.045094891500000005	0.045094891500000005	1	0	0.0		(10.4696404, -66.8037185)	54000000000.0		2015.0	Estimated from Venezuelan Central Bank figures
100	Milano	Comune di Milano	Italy	Europe	Administrative boundary of a local government	2016.0	2013.0	1350680.0	2014.0	0.9999998326857996	5976779.0	3728678.0	2248100.0		A	CO2							Other	We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this		The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector	15.5	182.0	122.0	0.011383130900000002	0.0151458624	0.0151130591	7800000000	68000000	0.01		(45.802578, 9.086356)				
101	Belo Horizonte	Municipality of Belo Horizonte	Brazil	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2013.0	2502557.0	2015.0	0.9999996915211188	3241713.0	2804787.0	436925.0		A	CO2; CH4; N2O	2065992.1664196018	2182206.46195121	2124099.314185406	1629066.1664196018	1745280.4619512104	1687173.314185406	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	"GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system.
It is worth mentioning that according to this model first-order decay,  For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif.
Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane."	Increased	Emissions keeps the growth rate of approximately 5% per year, following the trend projected into the 'business as usual' despite of efforts aimed at its reduction made so far	21.0	331.0	900.0	0.0151203426	0.0204194776	0.0167788505	17030000000	11700000000	0.69		(-19.916681, -43.934493)	81426708.0	BRL     Brazilian Real	2013.0	IBGE
102	Sorocaba	Prefeitura de Sorocaba	Brazil	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2012.0	644919.0	2015.0	0.9999995511552814	1113971.0	980290.0	133680.5		A	CO2; CH4; N2O; HFCs; PFCs; SF6	810983.014402934	840931.9055810168	825957.4599919755	677302.014402934	707250.9055810168	692276.4599919755	2006 IPCC Guidelines for National Greenhouse Gas Inventories	"This inventory were considered for calculating the following greenhouse gases ( GHG ) : Carbon Dioxide ( CO2 ), methane ( CH4 ) , nitrous oxide ( N2O ) , Hydrochlorofluorocarbons ( HFC "" s ) , Perclorofluorcarbonos ( PFC "" s ) and hexafluoride Sulfur ( SF6 ) . , 2000 IPCC Good Practice Guidance and Management in Natural Uncertanty Greenhouse Gas Inventories ; 2006 IPCC Guidelines for National , Greenhouse Gas Inventories ISO 14064-1/2006 : To estimate GHG emissions in Sorocaba , the following references were used : Greenhouse Gases , ISO 14064-2/2007 : Greenhouse Gases , Global Protocol for Community - Scale Greenhouse Gas Emissions ( GPC ) 2012. Potential GHG Global Warming was used , according to the Second Assessment Report of the IPCC (1995 ) . The sectors analyzed were : agriculture, forestry and land use ( rice planting in irrigated systems , liming the soil , herd management and animal manure management , agricultural soil management , agricultural waste burning and land use change ) , energy ( mobile combustion , stationary combustion and electricity consumption ) ; industry , and waste ( landfill and sewage treatment ) . Databases respected in the country , as the IBGE and SEADE were used , in addition to consulting the ANP ( National Petroleum Agency ) , municipal government information , agencies and agriculture companies ."	Other	There is only an elaborate inventory, so we can not compare emissions	20.8	450.0	601.0	0.0151203426	0.0204194776	0.0167788505	17030000000	11700000000	0.69		(-23.4774899, -47.4220615)	44950031.0	USD     US Dollar	2013.0	IBGE
103	Venezia	Comune di Venezia	Italy	Europe	Administrative boundary of a local government	2016.0	2005.0	263104.0	2016.0	0.9999992949524232	1418344.0	955471.0	462872.0		A	CO2							Other	Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.	Stayed the same	Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.	13.0	414.0	3.0	0.011383130900000002	0.0151458624	0.0151130591	7800000000	68000000	0.01		(45.4332515, 12.3210704)	146605000000.0	EUR     Euro	2012.0	ISTAT - this data is referred to whole Veneto Region (4881756 inhabitants)
104	Burlington	City of Burlington	USA	North America	Administrative boundary of a local government	2016.0	2010.0	42284.0	2015.0	0.9999918595962902	405385.3	368077.0	37305.0		A	CO2							International Emissions Analysis Protocol (ICLEI)	The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.	Decreased	"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released."	7.7	40.1	61.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(44.4758825, -73.212072)	12700000.0	USD     US Dollar	2014.0	Bureau of Economic Analysis
105	Bournemouth	City of Bournemouth	United Kingdom	Europe	Administrative boundary of a local government	2016.0	2013.0	191400.0	2015.0	0.9999680572414232	782650.0	350775.0	431850.0		A	CO2							2006 IPCC Guidelines for National Greenhouse Gas Inventories	The GHG emissions described in this section were calculated and published by the Department for Energy and Climate Change (DECC).  Summary of the calculation methodology is available from: https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-2013.	Decreased	Carbon emissions from all sectors (homes, business and transport) have decreased.  Contributing factors to this include home insulation programmes, signposting to business advice sources and increased provision for walking, cycling and public transport. (NOTE: Since last year's submissions, 2012 emissions data has been revised, giving a total of 818100 CO2e; this is higher than the total that was previously reported.)	14.0	108.0	22.0	0.0181362582	0.026046306800000002	0.0240104197	40990000000	10550000000	0.26		(50.719164, -1.880769)				
106	Hermosa Beach, CA	City of Hermosa Beach, CA	USA	North America	Administrative boundary of a local government	2016.0	2012.0	19750.0	2015.0	0.9995340057340988	126611.0	123218.0	3334.0		A	CO2; CH4; N2O	106888.4235544	116823.4631199	111855.94333715	103495.4235544	113430.4631199	108462.94333715	International Emissions Analysis Protocol (ICLEI)		Decreased		18.0	2.3	8.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(33.8622, -118.3995)		USD     US Dollar	2015.0	
107	Eugene	City of Eugene	USA	North America	Administrative boundary of a local government	2016.0	2015.0	151190.0	2013.0	0.995	1250000.0	1106250.0	137500.0		A	CO2; CH4; N2O	1099019.932515936	1175074.546789756	1137047.239652846	955269.932515936	1031324.546789756	993297.239652846	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Used the community GHG accounting tool available from ICLEI at the time (2006/2007)	Decreased	Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.	11.2	113.0	130.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(44.0519, -123.0867)				
108	Iowa	City of Iowa City	USA	North America	Administrative boundary of a local government	2016.0	2013.0	73415.0	2015.0	0.9930695661548412	1298620.0	590282.0	699338.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	1225306.939252976	1262237.619237846	1243772.279245411	516968.939252976	553899.619237846	535434.279245411	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	The methodology that was used was through ICLEI in 2009 using Clean Air and Climate Protection (CACP2009) software.	Decreased	The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased, but the per capita emissions have decreased since we have been tracking emissions. See attachment above.	10.5	65.5	203.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(41.6611, -91.5302)	8564000000.0	USD     US Dollar	2013.0	BEA-for Metropolitan Statistical Area
109	St Louis	City of St Louis	USA	North America	Administrative boundary of a local government	2016.0	2014.0	319294.0	2010.0	0.992139439074358	8703679.12	2481945.42	6153317.9		A	CO2; CH4; N2O; HFCs	8384828.470702712	8545446.117438246	8465137.294070479	2163094.7707027136	2323712.4174382454	2243403.5940704793	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	We are using the 4th edition of the Protocol.	Decreased	The City has encouraged and facilitated numerous sustainability initiatives in the past several years	13.9	170.9	142.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(38.6270025, -90.1994042)	149900000000.0	USD     US Dollar	2014.0	https://www.stlouis-mo.gov/government/departments/budget/documents/upload/FY15-AOP-Summary-Overview-and-charts-S-1-to-S-82.pdf
110	San Francisco	City of San Francisco	USA	North America	Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control	2016.0	2012.0	864816.0	2015.0	0.9880661956000042	5381687.0	4186111.0	1131352.0		A	CO2; CH4; N2O	4518071.82676567	4953108.848379718	4735590.337572694	3322495.8267656704	3757532.8483797186	3540014.3375726948	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Used ICLEI U.S. Community Protocol to verify calendar year 2012 emissions.  During November 2015, the city reshaped and scoped calendar year 2012 emissions according to the new GPC BASIC framework to Compact of Mayors requirements.  The GPC expanded the scope of the verified 2012 inventory to report sources such as from natural gas leakage from the distribution system, district electricity, transmission and distribution electric losses, wastewater, agriculture/farming, ships and boats (non-ferry), off-road equipment and stationary sources.  This resulted in a higher emission number than originally verified by a third party.	Other	Methology Change: There was an increase in the emission number from inventory years 2010 to 2012.  The shift to the BASIC GPC framework during 2015 included categories that were otherwise excluded or not calculated during previous CDP reporting years.  Rather than rectify previous years, especially under the new GPC BASIC categories in which historic data is largely unavailable, CDP/COM reports will include these categories moving forward. However, to capture emission trends since 1990, the City will continue trending according to previously utilized ICLEI U.S. Community Protocol scopes in which case sectors such as Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions continues to decrease due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies.	10.4	121.0	142.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(37.7749295, -122.4194155)	89205219000.0	USD     US Dollar	2015.0	Moody's Analytics and Bureau of Economic Analysis
111	Batangas	Batangas City	Philippines	Southeast Asia	A metropolitan area	2016.0	2010.0	332458.0	2015.0	0.9876882839698397	457288.0	344419.0	107239.0		A	CO2; CH4; N2O	379073.7601695712	385670.0440545032	382371.9021120372	266204.7601695712	272801.0440545032	269502.9021120372	2006 IPCC Guidelines for National Greenhouse Gas Inventories				25.0	285.0	10.0	0.007693555699999999	0.0084021612	0.0084021612	1	0	0.0		(13.756465, 121.058308)		PHP     Philippine Peso		
112	Madrid	Ayuntamiento de Madrid	Spain	Europe	Administrative boundary of a local government	2016.0	2013.0	3156572.0	2015.0	0.979461147105873	10257048.0	6795577.0	3250803.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	9011663.46823987	9105882.402531356	9058772.935385613	5550192.46823987	5644411.402531356	5597301.935385613	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	Indirect (Scope 2 + Scope 3) emissions decreased by 24,86% in 2013 in comparison to 2012, whereas electricity consumption decreased by 5,19 % in that period. This trend is explained by a decrease of 24,86 % in the electricity EF, as a result of the increasing penetration of renewable energy  in the national electricity mix.	15.0	604.0	655.0	0.0130245903	0.0140906081	0.0140906081	1	0	0.0		(40.1076253, -3.3875673)	125948386.0	EUR     Euro	2014.0	Contabilidad Municipal Trimestral. Ciudad de Madrid. Base 2010. Serie 2000-2015
113	Salvador	City of Salvador	Brazil	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2013.0	2902927.0	2014.0	0.975559913532546	3698964.0	3242166.0	366395.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	2335146.2119284216	2469952.9780818745	2402549.595005148	1878348.2119284219	2013154.9780818743	1945751.595005148	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)				26.0	692819.0	8.0	0.0151203426	0.0204194776	0.0167788505	17030000000	11700000000	0.69		(-12.97304, -38.502304)	4745.0		2012.0	IBGE
114	Bogotá	Bogotá Distrito Capital	Colombia	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2015.0	7878783.0	2015.0	0.9526715494378236	12359324.53	10679585.14	1094791.71		A	CO2; CH4; SF6; N2O	8982343.954222482	10866921.262627443	9924632.608424962	7302604.564222484	9187181.872627445	8244893.218424965	2006 IPCC Guidelines for National Greenhouse Gas Inventories	The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses.	Decreased	Emissions for Energy sector in 2015 are reduced because the projection is from the emissions inventory for 2012 , because the emission factor has a high confidence in compración to that used in 2008. GHG emissions in the waste sector decreased because the mitigation measures as burning torch and recovery of biogas for energy self-generation are implemented. Emissions of greenhouse gases have increased for the ASUS sector compared to 2014, because they were projected of the emissions inventory of greenhouse gases of the year 2008, from growth data of the bovine population, ecological structure principal, agriculture in Cundinamarca, and production of products of wood, which have an increasing trend over time.	15.0	1776.0	2650.0	0.006765019000000001	0.015307751100000001	0.015307751100000001	1	0	0.0		(4.598056, -74.075833)	50464206.0	USD     US Dollar	2015.0	DANE 2016
115	Houston	City of Houston	USA	North America	Administrative boundary of a local government	2016.0	2014.0	2195914.0	2013.0	0.9149971755968094	33428301.0	16075539.0	14511262.0		A	CO2; CH4; N2O	31235436.102128442	32340068.632378332	31787752.367253385	13882674.102128442	14987306.632378334	14434990.36725339	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		This is our first year of calculation	We are using the same inventory we submitted last year, and that was our first year conducting a community-wide GHG inventory using the ICLEI Community Protocol.	21.0	1625.0	13.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(29.7601927, -95.3693896)	517400000000.0	USD     US Dollar	2014.0	https://www.houston.org/pdf/research/quickview/Employment-Forecast.pdf
116	Santa Monica	City of Santa Monica	USA	North America	Administrative boundary of a local government	2017.0	2015.0	92000.0	2014.0	1.0	334591.0	119026.0	215565.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B	CO2; CH4; N2O	242718.7451648	288998.4231408	265858.5841528	27153.7451648	73433.4231408	50293.5841528	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	State renewable portfolio standard, low carbon fuel standard, electric vehicles, 15 x 15 Action Plan	20.0	20.0	320.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(34.0219, -118.4814)				
117	New York City	New York City	USA	North America	Administrative boundary of a local government	2017.0	2015.0	8537673.0	2016.0	1.0	53306007.0	38962264.0	14343743.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B	CO2; CH4; SF6; N2O	44780188.852656454	49074979.69074765	46927584.27170205	30436445.852656454	34731236.69074765	32583841.27170205	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	The most significant driver was a milder winter in 2015 versus 2014.	13.0	784.0	10.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(40.7127837, -74.0059413)	1558520000000.0	USD     US Dollar	2015.0	http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor
118	Albany	City of Albany	USA	North America	Administrative boundary of a local government	2017.0	2010.0	97856.0	2010.0	1.0	1217091.0	663997.0	553094.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A	CO2; CH4; N2O; HFCs; PFCs; SF6	1119370.8764222465	1168596.3565094145	1143983.6164658305	566276.8764222465	615502.3565094144	590889.6164658305	Other: New York Community and Regional GHG Inventory Guidance	http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/	Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.	Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.	9.0	55.0	9.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(42.6526, -73.7562)	49621.0	USD     US Dollar	2013.0	U.S. Bureau of Economic Analysis
119	Wellington	Wellington City Council	New Zealand	Oceania	Administrative boundary of a local government	2017.0	2014.0	209102.0	2017.0	1.0	792959.0	621179.0	171780.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	B	CO2; CH4; N2O; HFCs; PFCs; SF6	655575.5785574488	715243.2451010584	685409.4118292537	483795.5785574488	543463.2451010584	513629.4118292536	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	The decrease in emissions we have experienced is largely due to reductions in emissions from stationary energy. This decrease is primarily from a reduction in demand, but also from the increasing proportion of renewable energy generated in New Zealand.	12.7	290.1		0.013273726100000001	0.0234648677	0.0234648677	1	0	0.0		(26.661763, -80.268357)	18333000.0	NZD     New Zealand Dollar	2015.0	Infometrics
