Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,City Location,Country Location
50560,City of Oakland,Oakland,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: ICLEI Community Protocol,CO2; CH4; N2O,1745827,Total Scope 1 and Scope 2,956414,789413,"Energy data is high confidence, Transportation data is partially simulated (medium) partially fuel consumption (high), and materials use is medium-high (waste composition data is thorough but not collected frequently enough)",Decreased,"In comparison to the 2015 report, emissions have decreased in both Scope 1 and Scope 2 emissions.",419000,2015,"(37.8044, -122.2708)","(37.09024, -95.712891)"
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other: Inventario de emisiones simplificado 2014,CO2,1785603.75,Total Scope 1 and Scope 2,1175162.74,613341.01,,Decreased,"Fundamentalmente, las medidas adoptadas en las estrategias anteriormente citadas han conseguido una importante reducción de las emisiones en los sectores contemplados en el Pacto de Alcaldes: residencial y movilidad. Y ello tanto en el último año como desde 2015. Por su parte, el sector industrial ha reducido sus emisiones en el último año aunque, desde 2005 estas han aumentado, Aparte de la influencia de determinadas actuaciones del Ayuntamiento (Plan de Acuerdos voluntarios) la crisis económica ha frenado en parte el incremento de las emisiones en este sector.",702564,2016,"(41.608629, -0.887012)","(40.463667, -3.74922)"
43910,City of Columbus,Columbus,USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1819185,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",5509422,5592455,,Decreased,"Greenhouse gas emissions have again increased since our baseline emission inventory of 2013, but decreased since the 2014 inventory.",850106,2016,"(39.9611755, -82.9987942)","(37.09024, -95.712891)"
35879,City of Minneapolis,Minneapolis,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,5160962,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3377382,1783580,,Other:,Our 2014 GHG inventory is reported both this year and last year. This year's reporting of the 2014 inventory includes updated calculations to further comply with the GPC. We expect to release our 2015 inventory in June 2017.,410939,2015,"(44.983334, -93.26667)","(37.09024, -95.712891)"
31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,C40,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,3708292,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3708292,,,This is our first year of calculation,lack of capacity,3800000,2013,"(9.028874, 38.754366)","(9.145, 40.489673)"
49342,City of Rochester,Rochester,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,1800000,Total Scope 1 and Scope 2,,,"This GHG inventory was conducted by the Brendle Group, a Colorado-based environmental consulting firm.",,,210563,2010,"(43.161, -77.6109)","(37.09024, -95.712891)"
31090,District of Columbia,"Washington, DC",USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1692936,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3635054,4175896,,Decreased,"The regional shift in electricity generation from coal to natural gas is responsible for the largest share of emissions reductions Additionally, the District has experienced a decline in energy consumption, which can be attributed to improvements in building energy efficiency resulting from building codes, incentive programs, and other green building and energy programs.",681170,2016,"(38.9071923, -77.0368707)","(37.09024, -95.712891)"
36262,Comune di Genova,Genova,Italy,Europe,,Public,2017,2005-01-01 - 2011-12-31,Administrative boundary of a local government,Other,CO2,1810370,Total Scope 1 and Scope 2,,,,Other:,Is not possible a comparison because the categories are quantified differently,583601,2016,"(44.347961, 9.318415)","(41.87194, 12.56738)"
35449,Stadt Zürich,Zürich,Switzerland,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other: 2000-Watt society Methodology,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,1822367,Total Scope 1 and Scope 2,,,2000-Watt society Methodology,Other: No change,"The course of greenhouse gas emissions since 2008 is more or less constant. We assume that the positive effects of modernizing insulation of buildings are mostly compensated  by increased demands for comfort (e.g. higher room temperatures, larger living spaces, longer heating periods).",415682,2016,"(47.3686498, 8.5391825)","(46.818188, 8.227512)"
55415,"City of Columbia, SC","Columbia, SC",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,1848635.43,Total Scope 1 and Scope 2,858704,980622,,This is our first year of calculation,"This year is the first of our community inventory. Previously, we did City government only.",133358,2015,"(34.0007, -81.0348)","(37.09024, -95.712891)"
49334,"City of Richmond, VA","Richmond, VA",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,689932,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1367962,1422200,,Decreased,Emissions decreased slightly from 2014 due to a decrease in natural gas usage for most sectors and a decrease in electricity usage in the industrial sector.,220289,2015,"(37.540725, -77.436048)","(37.09024, -95.712891)"
36159,City of Lisbon,Lisbon,Portugal,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other,CO2,1934361,Total Scope 1 and Scope 2,1023910,910451,Value obtained by energy matrix analisys,Decreased,"The decrease in electricity emissions is related with increase of renewables in the national electricity generation mix. The decrease in diesel and gasoline is related with a correction of national statistics of energy for the period 2009-2012, where this figures were overestimated for Lisbon. The 2013 and 2014 values are now correct. Fuel-oil consumption also decreased by conversion to natural gas. Natural gas consumption increased.",547773,2011,"(38.7222524, -9.1393366)","(39.399872, -8.224454)"
49335,Metropolitan Government of Nashville and Davidson County,Nashville and Davidson ,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,12481363,"Total Scope 1, Scope 2  (Total BASIC emissions)",6680194,5801169,,Increased,"There was a small increase since the 2011 inventory, which was an incomplete inventory due to limited availability of data. Because of limited documentation of the 2011 inventory, it is difficult to compare the two inventories. There has been a decrease in emissions since the 2005 inventory, even with a growing population. Contributing to decreases in reported community emissions are lower emissions from Nashville’s electric power source, TVA (their emissions per unit energy output declined by about 15% from 2005 to 2014), and more efficient vehicles (vehicle CO2e emissions per mile have decreased from about 450 to 350 grams/mile between 2005 and 2014). Meanwhile (although specific data is unavailable to demonstrate the quantity), building energy efficiency has been improving through both new and retrofit projects during this time frame. LEED certification and Energy Star are examples of growing programs that help improve building energy efficiency.",678889,2015,"(36.1627, -86.7816)","(37.09024, -95.712891)"
36154,Vilnius City Municipality,Vilnius ,Lithuania,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; PFCs; CH4; N2O; HFCs,1944330,Total Scope 1 and Scope 2,1944329,,"Tier 1 method as described in Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (IPCC, 2000) for uncertainty evaluation has been applied. Individual uncertainty levels for emission factors and most other parameters have been applied with reference to either Lithuania’s NIR or IPCC recommendations. Uncertainty of activity levels has been evaluated based on expert judgement and in most cases it coincides with that evaluated in Lithuania’s NIR.The combined uncertainty level of the inventory (12.7 %) is close to that of Lithuania’s NIR (11.5 % excluding LULUCF) and may be considered acceptable. It is recommended to evaluate trend uncertainty with further emission inventories. As Road Transportation category emissions yielded high uncertainty levels it is recommended to address this issue in the future inventories and develop more transparent and comprehensive methodologies for evaluation of activity levels.",Decreased,Increased wooden biomass utilization in Energy sector for the central heating.,542626,2015,"(54.687156, 25.279651)","(55.169438, 23.881275)"
31052,City of Cardiff,Cardiff,United Kingdom,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other,CO2,1959900,Total Scope 1 and Scope 2,,,Central government data (DECC). This is the only data available at the city scale but progress is rigorous and consistent.,Decreased,Main reduction in industry / commercial emissions but also some decrease in domestic emissions,354300,2014,"(51.481581, -3.17909)","(55.378051, -3.435973)"
58310,City of Roanoke,Roanoke,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,1971679,Total Scope 1 and Scope 2,,,"The City of Roanoke hires local citizen Dr. Sean McGinnis, Director of Green Engineering from Virginia Tech to calculate and report on the GHG Emissions data.",Decreased,The city uses a 2005 baseline and the community emissions have decreased 13.5%. In 2014 emissions are down 4% from 2013. The primary driver of this loss is the reduction of coal in the electric fuel mix.,98465,2013,"(37.271, -79.9414)","(37.09024, -95.712891)"
42123,City of Goiânia,Goiânia,Brazil,Latin America,,Public,2017,2017-01-01 - 2017-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,2016320,Total Scope 1 and Scope 2,,,,,,1301892,2010,"(-16.6868912, -49.2647943)","(-14.235004, -51.92528)"
35874,City of Phoenix,Phoenix,USA,North America,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1430849,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",11471148,5193851,,This is our first year of calculation,For Item C1.9b the Spreadsheet is still draft and will be available to meet Covenant of Mayor's 2017 deadline in July.,1537058,2015,"(33.4484, -112.074)","(37.09024, -95.712891)"
35393,City of St Louis,St Louis,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1394396.8,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2853424,4239250,,Increased,"The City has encouraged and facilitated numerous sustainability initiatives in the past several years, however, growth in economic activity caused increases in the commercial sector since 2013.",319294,2010,"(38.627, -90.1994)","(37.09024, -95.712891)"
1093,City of Atlanta,Atlanta,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1303967.55,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",4033867,4855798,,Increased,"Factors for the increase in emissions are: a growth in the construction market, the construction of a new international terminal at the airport, and cheap prices of oil",443775,2013,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
50371,Municipalidad de  Córdoba,Córdoba,Argentina,Latin America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1286718,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,,,,,1560900,2015,"(-31.4201, -64.1888)","(-38.416097, -63.616672)"
20113,City of Vancouver,Vancouver,Canada,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1262255,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2347304,52123,,Decreased,"Community LDV emissions have decreased with continued increase in landfill gas capture efficiency. Also a decrease in overall stationary energy use: green building policies and improved energy efficiency contribute to this, but also a warmer winter season in 2015. Transportation Scope 1 emissions increased: fuel sales within region increased. Economic growth is one factor, but also USD-CAD exchange rate. Due to our proximity to US border (where fuel can be considerably less expensive), cross-border fuel-ups are significant. Unfavourable exchange rates correlate to decline in cross-border fuel purchasing behaviour.",631486,2016,"(49.261226, -123.1139268)","(56.130366, -106.346771)"
62180,Communauté urbaine du Grand Nancy,Nancy,France,Europe,,Public,2017,2016-01-01 - 2016-12-31,A metropolitan area,Other,CO2; PFCs; CH4; SF6; N2O; HFCs,2150000,Total Scope 1 and Scope 2,,,,,,265000,2014,"(48.692054, 6.184417)","(46.227638, 2.213749)"
43907,City of Indianapolis,Indianapolis,USA,North America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,Other: Hestia Project,CO2,2160364.98,Total Scope 1 and Scope 2,726155.11,1434209.86,"The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. Though the reported number has been tested and reported through peer-reviewed journals, there is limited confidence in the comparability to other cities. Published in Environmental Science and Technology by Kevin R. Gurney, Igor Razlivanov, Yang Song, Yuyu Zhou, Bedrich Benes,and Michel Abdul-Massihhttp://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf",This is our first year of calculation,,853000,2015,"(39.767625, -86.178469)","(37.09024, -95.712891)"
54329,Bogor City Government,Bogor ,Indonesia,South Asia and Oceania,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,2193642,Total Scope 1 and Scope 2,954020,1239622,Finished,Increased,"due to population growth, transportation and economic activity",1047922,2015,"(-6.5971, 106.806)","(-6.121435, 106.774124)"
8242,City of Helsinki,Helsinki,Finland,Europe,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,4706000,Total Scope 1 and Scope 2,2055000,2651000,https://www.hsy.fi/en/experts/climatechange/mitigation/Pages/Greenhouse-Gas-Emissions.aspx,Decreased,"Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels. Long term: Less coal in district heating, waste management has improved, industry has decreased.",636000,2016,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
50558,"City of London, ON","London, ON",Canada,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),,3160000,Total Scope 1 and Scope 2,2974000,186000,"Emissions related to electricity and natural gas are based on utility data by customer class. Emissions related to gasoline and diesel use by households are primarily based on retail sales of fuel data, whereas fuel used by freight transportation and local corporate fleets are prorated from provincial data by population.",Decreased,"Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2015, greenhouse gas emissions were 18 percent lower than 2007. In fact, London's emissions in 2015 were eight percent lower than the 1990 level used to benchmark Ontario's emission reduction efforts. Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, Ontario's coal-fired power plants were shut down. In 2015, 90 percent of Ontario's electricity demand was met with emissions-free generation: 60 percent nuclear, 24 percent hydroelectric, 6 percent wind and other renewables. Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the impact of the Recession on the local manufacturing sector also contributes to lower emissions.",381000,2015,"(42.9837, -81.2497)","(56.130366, -106.346771)"
53921,"City of Tempe, AZ","Tempe, AZ",USA,North America,,Public,2017,2015-01-01 - 2016-01-01,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1106610.48,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1285662.84,1144463.69,,This is our first year of calculation,,175826,2015,"(33.42551, -111.940005)","(37.09024, -95.712891)"
54100,"City of Columbia, MO","Columbia, MO",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,3247578,Total Scope 1 and Scope 2,251378,2996154,"Some sections are more accurate than others. Energy is perhaps the most accurate section. The inventory is not yet complete because we are yet to calculate life cycle emissions of materials that pass through the city and upstream consumption activities,",Other:,We are yet to complete our inventory so we cannot say at this point. We hope to complete our inventory by July 2017. The incomplete section is the transportation section for which we are waiting for federal highway statistics data in order to estimate our VMT.,119098,2017,"(38.951705, -92.334072)","(37.09024, -95.712891)"
57347,Pingtung County Government,Pingtung ,Taiwan,East Asia,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,4969246.69,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2768427.4,2200856.14,,Increased,"The main increased department are energy, industry, and waste",835792,2016,"(22.6558, 120.4703)","(23.69781, 120.960515)"
14874,"City of Portland, OR","Portland, OR",USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,6974544,Total Scope 1 and Scope 2,4610317,2364227,,Decreased,,619360,2014,"(45.52, -122.6819)","(37.09024, -95.712891)"
50578,City of Windsor,Windsor,Canada,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1074018,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1775831,109527,,Decreased,"Community emissions have decreased between 2011 and 2014.  The largest sources of declines were in Industrial, Commercial, Institutional emissions and can likely be credited in no small part to efficiency improvements and the Province's closing of coal fired electricity generation.  The Province of Ontario made a commitment in 2002 to close all coal fired-electricity plants by 2015.  In 2014, the last coal fired electricity generation plant was closed in Ontario.",217188,2016,"(42.314937, -83.036363)","(56.130366, -106.346771)"
31446,Taipei City Government,Taipei,Taiwan,East Asia,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,12117376,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3576815,8540561,,Increased,"The GHG emissions of Taipei City have been verified by third party, BSI Taiwan (British Standards Institution Taiwan), from 2005 to 2015 in 2016. The greenhouse gas emissions of Taipei City in 2015 were 12,117,400 metric tons. The greenhouse gas emissions of the City present a rising tendency in 2005-2008. The increasing tendency slowed down and began to decline since the 2008. There is no power plant in Taipei City jurisdiction; electricity usage is all dependent on the electricity grid from outside county. Although Taipei city’s electricity consumption in 2015 was lower 70 million KWh than that in 2014, the GHG emissions increased slightly in 2015 cause of the country’s electricity emission factor increased about 1.34%.",2695704,2016,"(25.037525, 121.563782)","(23.69781, 120.960515)"
35858,City of Cape Town,Cape Town,South Africa,Africa,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,998967,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",11140682,12240934,,Decreased,"The City of Cape Town undertook a process to update the GHG inventory by updating the two main energy sources with 2015 available data,i.e. electricity and liquid fuel. The electricity consumption has decreased 5% in comparison to the 2012 data – over the last few years there has been a decoupling of electricity consumption in comparison to the GDP. The liquid fuel consumption has increased by 10% in comparison to the 2012 data. 
Unfortunately the minor energy source data was not available for this GHG update, however it is assumed that it would not have too much influence on the inventory. Overall the GHG emissions have increased for the CCT due to the liquid fuel consumption increases by the above mentioned margin. does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).",4012441,2016,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
50572,"City of Saint Paul, MN","Saint Paul, MN",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,993847,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2878153,1179791,,This is our first year of calculation,This is our first year completing a GPC compliant inventory.,300353,2015,"(44.953703, -93.089958)","(37.09024, -95.712891)"
50568,City of Saskatoon,Saskatoon,Canada,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,983718,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2336425,1225862,,Increased,"Emissions have increased due to the lack of a coordinated approach to reduce GHG emissions. The City continues to improve methodology, and report emissions from additional sectors such as Agriculture emissions and estimate from IPPU. Methodology for the next inventory is expected to also include urban forestry and land use.  The city continues to experienced steady growth, which has pushed absolute emissions higher.",265300,2016,"(52.133214, -106.670046)","(56.130366, -106.346771)"
42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,C40,Public,2017,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,968439,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",5036124,1022269,,Increased,"The GHGs emissions in 2015, have increased  10% in comparison to the 2011 GHGs emissions inventory. Nonetheless the increase is less to what it was projected.",2239191,2010,"(-0.2333, -78.5167)","(-1.831239, -78.183406)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,C40,Public,2017,2014-01-01 - 2014-01-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,3329110,Total Scope 1 and Scope 2,2772810,556290,"Includes  municipal GHG emissions, residential, terciary and industrial sector, mobility GHG emissions, waste tratment and port and airpot emissions.",Decreased,Due to the increasing renewable energy production and the decreasing of consumption of natural gas.,1608746,2016,"(41.382271, 2.177506)","(40.463667, -3.74922)"
54046,City of Brownsville,Brownsville,USA,North America,,Public,2017,2015-10-01 - 2016-09-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,713892,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1448514,717139,,Other: Change in boundary,This year's emissions inventory includes new sources and improved methodology. At this time the appropriate base line adjustments have not been made so the cause of the decreased emissions is unknown. The base line adjustments will be made this year to determine the reason for the change.,183887,2015,"(25.9017, -97.4975)","(37.09024, -95.712891)"
55800,City of Cambridge,Cambridge,USA,North America,,Public,2017,2012-01-01 - 2012-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,712693,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1518024,455838,,This is our first year of calculation,,109694,2014,"(45.601, -93.327333)","(37.09024, -95.712891)"
16581,City of Seattle,Seattle,USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; SF6,3471000,Total Scope 1 and Scope 2,,,The level of uncertainty associated with the data is addressed in the source notes in each section. http://www.seattle.gov/Documents/Departments/OSE/ClimateDocs/2014GHG%20inventorySept2016.pdf,Decreased,"The total amount of GHGs emitted from the core emissions sources has declined 6% between 2008 and 2014, from 3.7 to 3.5 million metric tons of CO2-equivalent (CO2e).  However, Seattle’s population grew by 13% in the same period resulting in a per person decline in emissions of 17%. Road transportation has been the largest category of emissions since 1990. Total emissions in this sector increased between 1990 and 2008, however, they have been decreasing since 2008. Advances in vehicle technology, plus a trend towards fewer vehicle miles travelled per person, have led both to decreased absolute emissions from road transportation (down 2% since 2008) and decreased emissions per person (down 13% during this period). Between 2008 and 2014, building-related emissions declined as a result of lower overall building energy use, particularly for residential buildings, due to energy efficiency, more multi-family living, and especially by warmer weather that reduced winter heating needs. This decline, though modest, is more impressive considering Seattle’s population and economy have grown considerably since 1990.  On a per resident basis, Seattle’s emissions declined  22% per since 1990 and 6% since 2008. A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Light’s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.",662400,2015,"(47.6062, -122.3321)","(37.09024, -95.712891)"
35886,Comune di Torino,Torino,Italy,Europe,,Public,2017,2014-01-01 - 2014-12-31,"Other: Our  emission inventory takes in account the City of Turin  and its boundary, following the instruction of the JRC methodology (""How to develope a sustainable energy action plan"") setted up for the Covenant of Mayors initiative.","Other: The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative.",CO2,3496156,Total Scope 1 and Scope 2,,,The data provided refers to the inventory of emissions for 2014.,Decreased,Last updated in 2014. Since the last inventory performed a reduction of 22% in CO2 emissions compared to the base year (1991).,892276,2015,"(45.1006374, 7.6680046)","(41.87194, 12.56738)"
54085,City of Savannah,Savannah,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,3609546,Total Scope 1 and Scope 2,2381327,1228219,"Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.",This is our first year of calculation,,145674,2015,"(32.0835, -81.0998)","(37.09024, -95.712891)"
1184,City of Austin,Austin,USA,North America,C40,Public,2017,2013-01-01 - 2013-12-31,Combination of administrative divisions,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,13590196,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",7009751,6580445,,Decreased,increased renewable energy in our electricity generation,912791,2016,"(30.2672, -97.7431)","(37.09024, -95.712891)"
43926,City of Mannheim,Mannheim,Germany,Europe,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,Other: BISKO,CO2,3806000,Total Scope 1 and Scope 2,,3806000,"Most data are at a high quality based on real energy consumption in the sectors, some data are calculated on provided regional or national data sources.",Decreased,improvement of the emission factors of the district heating system with optimized combined heat and power technology,312722,2015,"(49.487459, 8.466039)","(51.165691, 10.451526)"
43928,Canberra,Canberra,Australia,South Asia and Oceania,,Public,2017,2015-07-01 - 2016-06-30,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; SF6; N2O; HFCs,4047600,Total Scope 1 and Scope 2,1813300,2234200,Prepared by independent entity with high professional standing in GHG accounting.,Increased,"ACT emissions have remained relatively stable since the last inventory, with less than a 1% increase reported. This is due to 20GwH of new large scale renewables coming on line, balancing an increase in demand for electricity, and a 5% decrease in natural gas use. These reductions offset a growth in transport fuel use by 4%.",400000,2016,"(-35.3075, 149.1244)","(-25.274398, 133.775136)"
50392,Prefeitura de Vitória,Vitória,Brazil,Latin America,,Public,2017,2015-07-15 - 2017-12-30,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,787341.59,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2424305.24,367108.66,,This is our first year of calculation,Only now it was possible to carry out the inventory from institutional partnerships.,359555,2016,"(-20.333764, -40.377582)","(-14.235004, -51.92528)"
